GENESIS-Tabelle: 22151-0032
Recipients of basic security benefits: Länder,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reference month per quarter, sex/age groups/location of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
benefit provision/public assistance institutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basic security in old age,reduced earning capacity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recipients of basic security benefits (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024
;;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December;March;June;September;December
Sachsen;Female;14235;14398;14290;14397;14113;13795;13324;13141;13232;13232;13276;13332;13413;13511;13231;13384;13531;13516;13263;13209;12920;13365;13100;13080;13045;13280;13435;13605;13690;14765;15695;16015;16590;16890;16835;16665;17090;...;...;...
Sachsen;Total;30441;30821;30865;31238;30716;30270;29422;29248;29519;29592;29828;30002;30151;30404;30025;30365;30781;30885;30583;30583;30160;31170;30665;30735;30645;31090;31375;31710;31835;33375;34675;35185;36200;36655;36465;36065;36865;...;...;...
Sachsen-Anhalt;Male;13063;13364;13389;13385;13421;13453;13062;13103;13262;13411;13280;13248;13338;13389;12908;12906;13103;13176;13095;13074;13515;13540;13310;13240;13290;13345;13395;13395;13630;13905;14090;14090;14430;14365;14225;14035;14300;...;...;...
Sachsen-Anhalt;Female;10835;11133;11047;11045;10789;10635;10144;10024;10149;10232;10048;10038;10093;10116;9840;9782;9964;9908;9711;9614;9865;9810;9530;9395;9445;9505;9525;9460;9630;10315;10750;10845;11125;11180;11060;10975;11250;...;...;...
Sachsen-Anhalt;Total;23898;24497;24436;24430;24210;24088;23206;23127;23411;23643;23328;23286;23431;23505;22748;22688;23067;23084;22806;22688;23380;23345;22835;22630;22735;22850;22920;22855;23265;24220;24840;24930;25555;25545;25285;25005;25550;...;...;...
Schleswig-Holstein;Male;18296;18497;18711;18972;19175;19170;18922;19017;19533;19693;19718;19972;20416;20551;20542;20726;21010;21168;20962;21119;18715;18920;21765;21960;22160;22405;22600;22955;23155;23505;23575;23820;24305;24460;24345;24380;24895;...;...;...
Schleswig-Holstein;Female;20408;20590;20736;20736;20852;20656;20280;20288;20771;20956;20954;21123;21515;21628;21501;21613;21710;21573;21021;21134;18665;18850;21335;21330;21445;21680;21860;22220;22505;23285;23395;23815;24440;24605;24430;24380;25010;...;...;...
Schleswig-Holstein;Total;38704;39087;39447;39708;40027;39826;39202;39305;40304;40649;40672;41095;41931;42179;42043;42339;42720;42741;41983;42253;37380;37770;43100;43290;43605;44085;44465;45175;45660;46790;46965;47635;48745;49060;48770;48760;49905;...;...;...
Thüringen;Male;8810;9119;9142;9253;9182;9086;8898;8948;9116;9202;9241;9164;9437;9476;9412;9557;9653;9701;9626;9649;9830;9945;9920;9955;9885;9965;9995;10095;10080;10255;10440;10525;10625;10575;10440;10545;10650;...;...;...
Thüringen;Female;7225;7391;7346;7309;7122;6990;6697;6695;6814;6886;6861;6806;6916;6976;6866;6942;6977;6925;6790;6788;6805;6890;6805;6775;6715;6775;6820;6940;6985;7425;7855;8120;8325;8370;8285;8380;8535;...;...;...
Thüringen;Total;16035;16510;16488;16562;16304;16076;15595;15643;15930;16088;16102;15970;16353;16452;16278;16499;16630;16626;16416;16437;16640;16840;16730;16730;16600;16735;16815;17030;17070;17680;18295;18645;18955;18950;18720;18925;19185;...;...;...
__________
"March 2015:
Undercoverage in several Länder, especially in Berlin. For
Germany, undercoverage is estimated at 10,000 - 15,000
recipients of basic security benefits in old age and in
cases of reduced earning capacity.

June 2015:
Undercoverage in Berlin, Bremen and, especially, Hessen.
For Germany, undercoverage amounts to roughly 900 recipients
of basic security benefits in old age and in cases of
reduced earning capacity.

March 2017:
Undercoverage in several Länder, especially in Hessen. For
Germany, undercoverage is estimated at 1,500 recipients of
basic security benefits in old age and in cases of reduced
earning capacity."
© Federal Statistical Office, Wiesbaden 2024
created: 2024-06-29 / 18:27:40
